juz,no_ayat,word_list,pos_list,level_2,level_2,joint_tag
1,1,Dengan,SC,O,O,O+O
1,1,menyebut,VB,O,O,O+O
1,1,nama,NN,O,O,O+O
1,1,Allah,NNP,O,O,O+O
1,1,Yang,NNP,O,O,O+O
1,1,Maha,NNP,O,O,O+O
1,1,Pemurah,NNP,O,O,O+O
1,1,lagi,RB,O,O,O+O
1,1,Maha,NNP,O,O,O+O
1,1,Penyayang,NNP,O,O,O+O
1,2,Segala,NNP,O,O,O+O
1,2,puji,VB,O,O,O+O
1,2,bagi,IN,O,O,O+O
1,2,Allah,NNP,O,O,O+O
1,2,Tuhan,NNP,O,O,O+O
1,2,semesta,VB,O,O,O+O
1,2,alam,NN,O,O,O+O
1,3,Maha,NN,O,O,O+O
1,3,Pemurah,NN,O,O,O+O
1,3,lagi,RB,O,O,O+O
1,3,Maha,NNP,O,O,O+O
1,3,Penyayang,NNP,O,O,O+O
1,4,Yang,SC,O,O,O+O
1,4,menguasai,VB,O,O,O+O
1,4,di,IN,O,O,O+O
1,4,Hari,NNP,O,O,O+O
1,4,Pembalasan,NNP,O,O,O+O
1,5,Hanya,NNP,O,O,O+O
1,5,Engkaulah,NNP,O,O,O+O
1,5,yang,SC,O,O,O+O
1,5,kami,PRP,O,O,O+O
1,5,sembah,VB,O,O,O+O
1,5,dan,CC,O,O,O+O
1,5,hanya,RB,O,O,O+O
1,5,kepada,IN,O,O,O+O
1,5,Engkaulah,NN,O,O,O+O
1,5,kami,PRP,O,O,O+O
1,5,meminta,VB,O,O,O+O
1,5,pertolongan,NN,O,O,O+O
1,6,Tunjukilah,NN,O,O,O+O
1,6,kami,PRP,O,O,O+O
1,6,jalan,NN,O,O,O+O
1,6,yang,SC,O,O,O+O
1,6,lurus,RB,O,O,O+O
1,7,yaitu,SC,O,O,O+O
1,7,Jalan,NN,O,O,O+O
1,7,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
1,7,yang,SC,I-PER,I-PER,I-PER+I-PER
1,7,telah,MD,I-PER,I-PER,I-PER+I-PER
1,7,Engkau,VB,I-PER,I-PER,I-PER+I-PER
1,7,beri,NN,I-PER,I-PER,I-PER+I-PER
1,7,nikmat,NN,I-PER,I-PER,I-PER+I-PER
1,7,kepada,IN,O,O,O+O
1,7,mereka,PRP,O,O,O+O
1,7,bukan,NEG,O,O,O+O
1,7,jalan,NN,O,O,O+O
1,7,mereka,PRP,B-PER,B-PER,B-PER+B-PER
1,7,yang,SC,I-PER,I-PER,I-PER+I-PER
1,7,dimurkai,VB,I-PER,I-PER,I-PER+I-PER
1,7,dan,CC,O,O,O+O
1,7,bukan,NEG,O,O,O+O
1,7,pula,RB,O,O,O+O
1,7,jalan,NN,O,O,O+O
1,7,mereka,PRP,B-PER,B-PER,B-PER+B-PER
1,7,yang,SC,I-PER,I-PER,I-PER+I-PER
1,7,sesat,VB,I-PER,I-PER,I-PER+I-PER
2,1,Alif,NN,O,O,O+O
2,1,laam,NN,O,O,O+O
2,1,miim,NN,O,O,O+O
2,2,Kitab,NNP,O,O,O+O
2,2,Al,NNP,O,O,O+O
2,2,Quran,NNP,O,O,O+O
2,2,ini,PR,O,O,O+O
2,2,tidak,NEG,O,O,O+O
2,2,ada,VB,O,O,O+O
2,2,keraguan,NN,O,O,O+O
2,2,padanya,RB,O,O,O+O
2,2,petunjuk,VB,O,O,O+O
2,2,bagi,IN,O,O,O+O
2,2,mereka,PRP,B-PER,B-PER,B-PER+B-PER
2,2,yang,SC,I-PER,I-PER,I-PER+I-PER
2,2,bertakwa,VB,I-PER,I-PER,I-PER+I-PER
2,3,yaitu,SC,O,O,O+O
2,3,mereka,PRP,B-PER,B-PER,B-PER+B-PER
2,3,yang,SC,I-PER,I-PER,I-PER+I-PER
2,3,beriman,NN,I-PER,I-PER,I-PER+I-PER
2,3,kepada,IN,O,I-PER,O+I-PER
2,3,yang,SC,O,I-PER,O+I-PER
2,3,ghaib,JJ,O,I-PER,O+I-PER
2,3,yang,SC,O,O,O+O
2,3,mendirikan,VB,O,O,O+O
2,3,shalat,NN,O,O,O+O
2,3,dan,CC,O,O,O+O
2,3,menafkahkan,VB,O,O,O+O
2,3,sebahagian,NN,O,O,O+O
2,3,rezeki,VB,O,O,O+O
2,3,yang,SC,O,O,O+O
2,3,Kami,PRP,O,O,O+O
2,3,anugerahkan,VB,O,O,O+O
2,3,kepada,IN,O,O,O+O
2,3,mereka,PRP,O,O,O+O
2,4,dan,CC,O,O,O+O
2,4,mereka,PRP,B-PER,B-PER,B-PER+B-PER
2,4,yang,SC,I-PER,I-PER,I-PER+I-PER
2,4,beriman,NN,I-PER,I-PER,I-PER+I-PER
2,4,kepada,IN,O,I-PER,O+I-PER
2,4,Kitab,NNP,O,I-PER,O+I-PER
2,4,Al,NNP,O,I-PER,O+I-PER
2,4,Quran,NNP,O,I-PER,O+I-PER
2,4,yang,SC,O,O,O+O
2,4,telah,MD,O,O,O+O
2,4,diturunkan,VB,O,O,O+O
2,4,kepadamu,NN,O,O,O+O
2,4,dan,CC,O,O,O+O
2,4,Kitab-kitab,NNP,O,O,O+O
2,4,yang,SC,O,O,O+O
2,4,telah,MD,O,O,O+O
2,4,diturunkan,VB,O,O,O+O
2,4,sebelummu,NN,O,O,O+O
2,4,serta,CC,O,O,O+O
2,4,mereka,PRP,O,O,O+O
2,4,yakin,JJ,O,O,O+O
2,4,akan,MD,O,O,O+O
2,4,adanya,NN,O,O,O+O
2,4,kehidupan,NN,O,O,O+O
2,4,akhirat,NN,O,O,O+O
2,5,Mereka,PRP,O,O,O+O
2,5,itulah,VB,O,O,O+O
2,5,yang,SC,O,O,O+O
2,5,tetap,RB,O,O,O+O
2,5,mendapat,VB,O,O,O+O
2,5,petunjuk,VB,O,O,O+O
2,5,dari,IN,O,O,O+O
2,5,Tuhan,NN,O,O,O+O
2,5,mereka,PRP,O,O,O+O
2,5,dan,CC,O,O,O+O
2,5,merekalah,NN,O,O,O+O
2,5,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,5,yang,SC,I-PER,I-PER,I-PER+I-PER
2,5,beruntung,VB,I-PER,I-PER,I-PER+I-PER
2,6,Sesungguhnya,RB,O,O,O+O
2,6,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,6,kafir,NN,I-PER,I-PER,I-PER+I-PER
2,6,sama,JJ,O,O,O+O
2,6,saja,RB,O,O,O+O
2,6,bagi,IN,O,O,O+O
2,6,mereka,PRP,O,O,O+O
2,6,kamu,VB,O,O,O+O
2,6,beri,NN,O,O,O+O
2,6,peringatan,NN,O,O,O+O
2,6,atau,CC,O,O,O+O
2,6,tidak,NEG,O,O,O+O
2,6,kamu,VB,O,O,O+O
2,6,beri,NN,O,O,O+O
2,6,peringatan,NN,O,O,O+O
2,6,mereka,PRP,O,O,O+O
2,6,tidak,NEG,O,O,O+O
2,6,juga,RB,O,O,O+O
2,6,akan,MD,O,O,O+O
2,6,beriman,VB,O,O,O+O
2,7,Allah,NNP,O,O,O+O
2,7,telah,MD,O,O,O+O
2,7,mengunci-mati,VB,O,O,O+O
2,7,hati,NN,O,O,O+O
2,7,dan,CC,O,O,O+O
2,7,pendengaran,NN,O,O,O+O
2,7,mereka,PRP,O,O,O+O
2,7,dan,CC,O,O,O+O
2,7,penglihatan,NN,O,O,O+O
2,7,mereka,PRP,O,O,O+O
2,7,ditutup,VB,O,O,O+O
2,7,Dan,NNP,O,O,O+O
2,7,bagi,IN,O,O,O+O
2,7,mereka,PRP,O,O,O+O
2,7,siksa,VB,O,O,O+O
2,7,yang,SC,O,O,O+O
2,7,amat,RB,O,O,O+O
2,7,berat,JJ,O,O,O+O
2,8,Di,IN,O,O,O+O
2,8,antara,NN,O,O,O+O
2,8,manusia,NN,O,O,O+O
2,8,ada,VB,O,O,O+O
2,8,yang,SC,O,O,O+O
2,8,mengatakan,VB,O,O,O+O
2,8,Kami,PRP,O,O,O+O
2,8,beriman,NN,O,O,O+O
2,8,kepada,IN,O,O,O+O
2,8,Allah,NNP,O,O,O+O
2,8,dan,CC,O,O,O+O
2,8,Hari,NN,O,O,O+O
2,8,kemudian,CC,O,O,O+O
2,8,pada,IN,O,O,O+O
2,8,hal,NN,O,O,O+O
2,8,mereka,PRP,O,O,O+O
2,8,itu,PR,O,O,O+O
2,8,sesungguhnya,RB,O,O,O+O
2,8,bukan,NEG,O,O,O+O
2,8,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,8,yang,SC,I-PER,I-PER,I-PER+I-PER
2,8,beriman,NN,I-PER,I-PER,I-PER+I-PER
2,9,Mereka,PRP,O,O,O+O
2,9,hendak,NEG,O,O,O+O
2,9,menipu,VB,O,O,O+O
2,9,Allah,NNP,O,O,O+O
2,9,dan,CC,O,O,O+O
2,9,orang-orang,NN,B-PER,B-PER,B-PER+B-PER
2,9,yang,SC,I-PER,I-PER,I-PER+I-PER
2,9,beriman,NN,I-PER,I-PER,I-PER+I-PER
2,9,padahal,CC,O,O,O+O
2,9,mereka,PRP,O,O,O+O
