juz,no_ayat,sent,tag,pos,sentence #
2,280,"['Dan', 'jika', 'orang', 'yang', 'berhutang', 'itu', 'dalam', 'kesukaran', 'maka', 'berilah', 'tangguh', 'sampai', 'dia', 'berkelapangan', 'Dan', 'menyedekahkan', 'sebagian', 'atau', 'semua', 'utang', 'itu', 'lebih', 'baik', 'bagimu', 'jika', 'kamu', 'mengetahui']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['CC', 'SC', 'NN', 'SC', 'NN', 'PR', 'IN', 'NN', 'SC', 'NN', 'JJ', 'SC', 'PRP', 'NN', 'NNP', 'VB', 'CD', 'CC', 'CD', 'NN', 'PR', 'RB', 'JJ', 'VB', 'SC', 'VB', 'VB']",287
5,31,"['Kemudian', 'Allah', 'menyuruh', 'seekor', 'burung', 'gagak', 'menggali-gali', 'di', 'bumi', 'untuk', 'memperlihatkan', 'kepadanya', 'Qabil', 'bagaimana', 'seharusnya', 'menguburkan', 'mayat', 'saudaranya', 'Berkata', 'Qabil', 'Aduhai', 'celaka', 'aku', 'mengapa', 'aku', 'tidak', 'mampu', 'berbuat', 'seperti', 'burung', 'gagak', 'ini', 'lalu', 'aku', 'dapat', 'menguburkan', 'mayat', 'saudaraku', 'ini', 'Karena', 'itu', 'jadilah', 'dia', 'seorang', 'diantara', 'orang-orang', 'yang', 'menyesal']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER']","['NNP', 'NNP', 'CD', 'NND', 'NN', 'RB', 'VB', 'IN', 'NN', 'SC', 'VB', 'NN', 'NNP', 'WH', 'RB', 'VB', 'NN', 'NN', 'NNP', 'NNP', 'NNP', 'SC', 'VB', 'WH', 'NN', 'NEG', 'JJ', 'VB', 'IN', 'NN', 'NN', 'PR', 'CC', 'NN', 'MD', 'VB', 'NN', 'NN', 'PR', 'SC', 'PR', 'VB', 'PRP', 'NND', 'NN', 'NN', 'SC', 'VB']",700
2,97,"['Katakanlah', 'Barang', 'siapa', 'yang', 'menjadi', 'musuh', 'Jibril', 'maka', 'Jibril', 'itu', 'telah', 'menurunkannya', 'Al', 'Quran', 'ke', 'dalam', 'hatimu', 'dengan', 'seizin', 'Allah', 'membenarkan', 'apa', 'kitab-kitab', 'yang', 'sebelumnya', 'dan', 'menjadi', 'petunjuk', 'serta', 'berita', 'gembira', 'bagi', 'orang-orang', 'yang', 'beriman']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'B-PER+B-PER']","['NNP', 'NNP', 'WH', 'SC', 'VB', 'NN', 'NNP', 'SC', 'NNP', 'PR', 'MD', 'VB', 'NNP', 'NNP', 'IN', 'NN', 'VB', 'IN', 'NN', 'NNP', 'VB', 'WH', 'NN', 'SC', 'SC', 'CC', 'VB', 'NN', 'CC', 'NN', 'VB', 'IN', 'NN', 'SC', 'NN']",104
4,10,"['Sesungguhnya', 'orang-orang', 'yang', 'memakan', 'harta', 'anak', 'yatim', 'secara', 'zalim', 'sebenarnya', 'mereka', 'itu', 'menelan', 'api', 'sepenuh', 'perutnya', 'dan', 'mereka', 'akan', 'masuk', 'ke', 'dalam', 'api', 'yang', 'menyala-nyala', 'neraka']","['O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'O+I-PER', 'O+I-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['RB', 'NN', 'SC', 'VB', 'NN', 'NN', 'NN', 'IN', 'NN', 'RB', 'PRP', 'PR', 'VB', 'NN', 'JJ', 'RB', 'CC', 'PRP', 'MD', 'VB', 'IN', 'NN', 'NN', 'SC', 'NN', 'SC']",503
2,29,"['Dialah', 'Allah', 'yang', 'menjadikan', 'segala', 'yang', 'ada', 'di', 'bumi', 'untuk', 'kamu', 'dan', 'Dia', 'berkehendak', 'menciptakan', 'langit', 'lalu', 'dijadikan-Nya', 'tujuh', 'langit', 'Dan', 'Dia', 'Maha', 'Mengetahui', 'segala', 'sesuatu']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['NNP', 'NNP', 'SC', 'VB', 'CD', 'SC', 'VB', 'IN', 'NN', 'SC', 'NN', 'CC', 'PRP', 'NEG', 'VB', 'NN', 'CC', 'NN', 'CD', 'NN', 'NNP', 'NNP', 'NNP', 'NNP', 'CD', 'CD']",36
4,42,"['Di', 'hari', 'itu', 'orang-orang', 'kafir', 'dan', 'orang-orang', 'yang', 'mendurhakai', 'rasul', 'ingin', 'supaya', 'mereka', 'disamaratakan', 'dengan', 'tanah', 'dan', 'mereka', 'tidak', 'dapat', 'menyembunyikan', 'dari', 'Allah', 'sesuatu', 'kejadianpun']","['O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['IN', 'NN', 'PR', 'NN', 'NN', 'CC', 'NN', 'SC', 'VB', 'VB', 'RB', 'VB', 'PRP', 'VB', 'IN', 'NN', 'CC', 'PRP', 'NEG', 'MD', 'VB', 'IN', 'NNP', 'PRP', 'SC']",535
3,1,"['Alif', 'laam', 'miim']","['O+O', 'O+O', 'O+O']","['NN', 'NN', 'NN']",294
6,118,"['Maka', 'makanlah', 'binatang-binatang', 'yang', 'halal', 'yang', 'disebut', 'nama', 'Allah', 'ketika', 'menyembelihnya', 'jika', 'kamu', 'beriman', 'kepada', 'ayat-ayat-Nya']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['SC', 'VB', 'NN', 'SC', 'NN', 'SC', 'VB', 'NN', 'NNP', 'SC', 'RB', 'SC', 'VB', 'NN', 'IN', 'NN']",907
4,86,"['Apabila', 'kamu', 'diberi', 'penghormatan', 'dengan', 'sesuatu', 'penghormatan', 'maka', 'balaslah', 'penghormatan', 'itu', 'dengan', 'yang', 'lebih', 'baik', 'dari', 'padanya', 'atau', 'balaslah', 'penghormatan', 'itu', 'dengan', 'yang', 'serupa', 'Sesungguhnya', 'Allah', 'memperhitungankan', 'segala', 'sesuatu']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['SC', 'VB', 'NN', 'NN', 'IN', 'CD', 'NN', 'SC', 'VB', 'NN', 'PR', 'IN', 'SC', 'RB', 'JJ', 'IN', 'NN', 'CC', 'NN', 'NN', 'PR', 'IN', 'SC', 'NN', 'NNP', 'NNP', 'VB', 'CD', 'CD']",579
2,215,"['Mereka', 'bertanya', 'tentang', 'apa', 'yang', 'mereka', 'nafkahkan', 'Jawablah', 'Apa', 'saja', 'harta', 'yang', 'kamu', 'nafkahkan', 'hendaklah', 'diberikan', 'kepada', 'ibu-bapak', 'kaum', 'kerabat', 'anak-anak', 'yatim', 'orang-orang', 'miskin', 'dan', 'orang-orang', 'yang', 'sedang', 'dalam', 'perjalanan', 'Dan', 'apa', 'saja', 'kebaikan', 'yang', 'kamu', 'buat', 'maka', 'sesungguhnya', 'Allah', 'Maha', 'Mengetahuinya']","['O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'B-PER+B-PER', 'B-PER+B-PER', 'I-PER+I-PER', 'B-PER+B-PER', 'I-PER+I-PER', 'B-PER+B-PER', 'I-PER+I-PER', 'O+O', 'B-PER+B-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'I-PER+I-PER', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O', 'O+O']","['PRP', 'VB', 'IN', 'WH', 'SC', 'PRP', 'VB', 'NNP', 'NNP', 'RB', 'NN', 'SC', 'VB', 'VB', 'NN', 'VB', 'IN', 'NN', 'NN', 'NN', 'NN', 'NN', 'NN', 'JJ', 'CC', 'NN', 'SC', 'MD', 'IN', 'NN', 'NNP', 'WH', 'RB', 'VB', 'SC', 'NN', 'JJ', 'SC', 'RB', 'NNP', 'NNP', 'NNP']",222
